1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
275.98,275.94,275.82,275.93,275.95,276.00,275.91,275.92,275.87,275.98,276.02,276.04,275.99,275.90,275.91,276.08,276.09,275.94,275.97,275.93,275.86,275.95,276.11,276.10,275.99,276.04,276.02,275.92,276.06,276.14,276.05,276.12,276.01,276.09,276.17,276.21,276.11,276.01,276.20
277.00,276.96,276.84,276.94,276.97,277.01,276.92,276.93,276.88,276.98,277.02,277.05,276.99,276.90,276.91,277.08,277.08,276.94,276.97,276.93,276.85,276.94,277.09,277.08,276.98,277.02,277.00,276.90,277.04,277.12,277.03,277.09,276.98,277.06,277.14,277.18,277.07,276.98,277.15
276.15,276.11,275.97,276.11,276.12,276.17,276.07,276.07,276.05,276.14,276.18,276.19,276.13,276.04,276.07,276.23,276.23,276.08,276.10,276.05,276.02,276.10,276.24,276.23,276.12,276.15,276.13,276.06,276.19,276.26,276.16,276.22,276.11,276.20,276.28,276.31,276.20,276.12,276.29
277.82,277.78,277.65,277.78,277.80,277.84,277.74,277.74,277.72,277.81,277.85,277.87,277.81,277.71,277.74,277.90,277.90,277.75,277.77,277.73,277.69,277.77,277.92,277.90,277.79,277.83,277.80,277.73,277.86,277.94,277.84,277.90,277.78,277.88,277.96,277.99,277.88,277.80,277.97
278.39,278.34,278.20,278.34,278.36,278.39,278.29,278.29,278.28,278.37,278.41,278.42,278.35,278.26,278.30,278.45,278.45,278.29,278.31,278.26,278.24,278.32,278.46,278.44,278.33,278.36,278.33,278.28,278.40,278.48,278.37,278.43,278.31,278.42,278.49,278.52,278.40,278.33,278.50
281.34,281.30,281.17,281.30,281.31,281.36,281.26,281.26,281.23,281.33,281.37,281.38,281.32,281.23,281.26,281.42,281.42,281.27,281.29,281.24,281.20,281.28,281.43,281.41,281.30,281.34,281.32,281.24,281.37,281.45,281.35,281.41,281.29,281.39,281.47,281.50,281.38,281.30,281.48
277.78,277.76,277.64,277.73,277.76,277.82,277.74,277.76,277.68,277.79,277.84,277.88,277.83,277.76,277.75,277.92,277.94,277.81,277.85,277.82,277.70,277.80,277.96,277.97,277.87,277.93,277.92,277.79,277.94,278.03,277.95,278.02,277.93,277.98,278.08,278.13,278.03,277.92,278.11
277.75,277.72,277.59,277.70,277.72,277.78,277.69,277.70,277.64,277.75,277.79,277.82,277.77,277.68,277.69,277.86,277.87,277.73,277.76,277.72,277.64,277.73,277.89,277.88,277.78,277.83,277.81,277.70,277.84,277.93,277.84,277.91,277.80,277.87,277.96,278.00,277.90,277.80,277.99
278.65,278.61,278.49,278.59,278.62,278.67,278.58,278.58,278.53,278.63,278.68,278.70,278.65,278.56,278.57,278.73,278.74,278.60,278.63,278.59,278.51,278.59,278.75,278.74,278.64,278.68,278.67,278.56,278.70,278.78,278.69,278.76,278.65,278.72,278.81,278.85,278.74,278.64,278.82
281.36,281.32,281.20,281.31,281.33,281.38,281.29,281.30,281.25,281.35,281.39,281.42,281.36,281.28,281.29,281.45,281.46,281.31,281.34,281.31,281.23,281.32,281.47,281.46,281.36,281.40,281.39,281.29,281.42,281.51,281.41,281.48,281.37,281.45,281.53,281.57,281.47,281.37,281.55
282.84,282.80,282.68,282.78,282.80,282.85,282.76,282.77,282.71,282.81,282.86,282.88,282.83,282.75,282.75,282.92,282.92,282.78,282.81,282.78,282.68,282.77,282.93,282.92,282.82,282.87,282.85,282.74,282.88,282.96,282.87,282.94,282.83,282.90,282.98,283.03,282.92,282.82,283.00
279.79,279.75,279.62,279.74,279.76,279.80,279.70,279.70,279.67,279.77,279.81,279.82,279.76,279.67,279.69,279.85,279.85,279.70,279.73,279.68,279.63,279.71,279.86,279.85,279.74,279.77,279.75,279.67,279.80,279.88,279.78,279.84,279.72,279.81,279.89,279.92,279.81,279.72,279.90
276.09,276.05,275.93,276.03,276.06,276.11,276.02,276.03,275.97,276.07,276.12,276.15,276.10,276.02,276.01,276.18,276.19,276.05,276.09,276.06,275.95,276.05,276.21,276.20,276.10,276.15,276.14,276.02,276.16,276.25,276.16,276.23,276.13,276.19,276.28,276.32,276.22,276.12,276.30
277.28,277.24,277.11,277.22,277.25,277.29,277.19,277.20,277.16,277.26,277.30,277.31,277.26,277.17,277.18,277.35,277.35,277.20,277.23,277.18,277.12,277.20,277.35,277.34,277.23,277.28,277.25,277.16,277.30,277.38,277.28,277.34,277.23,277.31,277.39,277.42,277.32,277.22,277.40
280.58,280.54,280.41,280.52,280.54,280.59,280.49,280.49,280.46,280.55,280.59,280.61,280.55,280.46,280.48,280.64,280.64,280.50,280.52,280.48,280.42,280.50,280.65,280.64,280.53,280.57,280.55,280.46,280.59,280.67,280.57,280.64,280.52,280.61,280.69,280.72,280.61,280.52,280.70
283.54,283.51,283.38,283.48,283.51,283.56,283.47,283.47,283.41,283.52,283.56,283.58,283.53,283.45,283.44,283.61,283.62,283.48,283.51,283.47,283.38,283.47,283.63,283.62,283.51,283.56,283.54,283.43,283.57,283.65,283.56,283.63,283.52,283.58,283.67,283.71,283.61,283.50,283.68
280.19,280.16,280.04,280.13,280.16,280.22,280.13,280.15,280.07,280.18,280.23,280.26,280.22,280.14,280.13,280.30,280.32,280.18,280.22,280.19,280.07,280.17,280.33,280.33,280.23,280.29,280.28,280.15,280.29,280.38,280.30,280.37,280.27,280.32,280.42,280.46,280.37,280.26,280.45
277.11,277.07,276.94,277.05,277.08,277.12,277.02,277.03,276.99,277.09,277.13,277.14,277.09,277.00,277.01,277.17,277.18,277.03,277.05,277.01,276.95,277.03,277.18,277.17,277.06,277.10,277.08,276.99,277.12,277.20,277.10,277.17,277.06,277.14,277.22,277.25,277.14,277.05,277.22
278.48,278.45,278.32,278.42,278.45,278.49,278.40,278.40,278.36,278.46,278.50,278.52,278.46,278.37,278.38,278.54,278.55,278.40,278.43,278.39,278.31,278.40,278.55,278.54,278.43,278.48,278.46,278.36,278.49,278.57,278.48,278.54,278.43,278.50,278.59,278.62,278.51,278.42,278.59
279.78,279.74,279.62,279.73,279.75,279.79,279.70,279.71,279.66,279.76,279.80,279.82,279.77,279.68,279.69,279.85,279.86,279.71,279.74,279.70,279.63,279.71,279.86,279.85,279.75,279.79,279.77,279.67,279.81,279.89,279.79,279.86,279.75,279.82,279.91,279.94,279.84,279.74,279.92
280.81,280.77,280.65,280.75,280.77,280.82,280.73,280.74,280.68,280.78,280.83,280.85,280.79,280.71,280.71,280.88,280.88,280.74,280.77,280.73,280.64,280.73,280.89,280.88,280.77,280.82,280.80,280.69,280.83,280.91,280.82,280.88,280.77,280.84,280.93,280.97,280.86,280.76,280.94
283.02,282.99,282.87,282.95,282.99,283.04,282.96,282.98,282.89,283.00,283.06,283.09,283.04,282.96,282.95,283.12,283.14,283.00,283.04,283.01,282.89,282.99,283.15,283.15,283.06,283.11,283.10,282.97,283.11,283.20,283.12,283.19,283.09,283.14,283.24,283.28,283.18,283.07,283.26
281.80,281.77,281.65,281.74,281.77,281.83,281.74,281.76,281.68,281.79,281.84,281.87,281.83,281.75,281.74,281.91,281.92,281.79,281.82,281.79,281.69,281.78,281.94,281.94,281.84,281.89,281.88,281.76,281.90,281.99,281.90,281.98,281.88,281.93,282.03,282.07,281.97,281.87,282.05
279.11,279.08,278.95,279.06,279.09,279.13,279.04,279.05,279.00,279.11,279.15,279.17,279.12,279.03,279.05,279.21,279.22,279.07,279.10,279.07,278.99,279.08,279.23,279.23,279.12,279.17,279.15,279.05,279.19,279.27,279.18,279.25,279.14,279.21,279.30,279.34,279.24,279.14,279.32
280.16,280.13,280.00,280.10,280.13,280.18,280.09,280.11,280.04,280.15,280.20,280.22,280.17,280.09,280.09,280.26,280.27,280.13,280.16,280.13,280.03,280.12,280.28,280.28,280.18,280.23,280.21,280.10,280.24,280.33,280.24,280.31,280.20,280.27,280.36,280.40,280.30,280.19,280.38
276.96,276.92,276.80,276.90,276.93,276.98,276.89,276.90,276.84,276.94,276.99,277.02,276.97,276.88,276.88,277.05,277.06,276.92,276.95,276.92,276.82,276.92,277.07,277.07,276.97,277.02,277.00,276.89,277.03,277.11,277.02,277.09,276.99,277.05,277.14,277.18,277.08,276.98,277.16
277.49,277.45,277.33,277.43,277.46,277.51,277.43,277.44,277.38,277.48,277.53,277.56,277.51,277.43,277.43,277.60,277.61,277.47,277.51,277.47,277.37,277.47,277.63,277.62,277.53,277.58,277.56,277.45,277.59,277.68,277.59,277.66,277.56,277.62,277.71,277.75,277.65,277.55,277.74
277.57,277.54,277.42,277.51,277.54,277.60,277.51,277.53,277.46,277.57,277.62,277.64,277.60,277.52,277.51,277.69,277.70,277.56,277.60,277.56,277.46,277.55,277.71,277.71,277.62,277.67,277.66,277.53,277.68,277.77,277.68,277.75,277.65,277.71,277.80,277.85,277.75,277.64,277.83
278.11,278.07,277.94,278.06,278.08,278.13,278.03,278.04,278.00,278.10,278.14,278.16,278.11,278.02,278.03,278.20,278.20,278.06,278.09,278.05,277.97,278.06,278.22,278.21,278.10,278.15,278.13,278.03,278.17,278.25,278.15,278.22,278.11,278.19,278.27,278.31,278.20,278.11,278.29
280.82,280.79,280.67,280.76,280.79,280.85,280.76,280.77,280.70,280.81,280.86,280.89,280.84,280.76,280.75,280.92,280.93,280.80,280.83,280.80,280.69,280.79,280.95,280.95,280.85,280.90,280.89,280.76,280.90,280.99,280.90,280.98,280.88,280.93,281.02,281.07,280.97,280.86,281.05
280.34,280.31,280.19,280.28,280.31,280.37,280.29,280.30,280.22,280.33,280.38,280.41,280.37,280.29,280.28,280.45,280.47,280.33,280.37,280.34,280.22,280.32,280.48,280.48,280.39,280.44,280.43,280.30,280.44,280.53,280.45,280.52,280.42,280.47,280.57,280.62,280.52,280.41,280.60
